Uniprot	Names
A0A075B6I4	IGLV10-54
A0AVT1	UBA6
A0FGR8	ESYT2
A0FGR8-2	nPvarsplic
A1A4S6	ARHGAP10
A1L4H1	SSC5D
A2VDF0	FUOM
A5YKK6	CNOT1
A6ND91	ASPDH
A6NDG6	PGP
A6NFA1	TRABD2B
A6NLP5	TTC36
A8MVW5	HEPACAM2
B0I1T2	MYO1G
B1AKI9	ISM1
B2RUZ4	SMIM1
O00115	DNASE2
O00116	AGPS
O00139	KIF2A
O00151	PDLIM1
Q53GG5	PDLIM3
O00154	ACOT7
O00159	MYO1C
O00160	MYO1F
O00161	SNAP23
O00186	STXBP3
O00203	AP3B1
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00244	ATOX1
O00264	PGRMC1
O15173	PGRMC2
O00299	CLIC1
O15247	CLIC2
Q9NZA1	CLIC5
Q9Y696	CLIC4
O00303	EIF3F
O00339	MATN2
O00429	DNM1L
P34913	EPHX2
P50570	DNM2
Q05193	DNM1
O00442	RTCA
O00451	GFRA2
O00461	GOLIM4
O00462	MANBA
P80404	ABAT
O00468	AGRN
O00483	NDUFA4
O00487	PSMD14
O00501	CLDN5
O00548	DLL1
O00560	SDCBP
O00584	RNASET2
O00592	PODXL
O00629	KPNA4
O00754	MAN2B1
O00764	PDXK
O14498	ISLR
O14558	HSPB6
O14579	COPE
O14617	AP3D1
O14618	CCS
O14672	ADAM10
O14737	PDCD5
O14744	PRMT5
O14745	SLC9A3R1
O14773	TPP1
O14775	GNB5
O14793	MSTN
O95390	GDF11
O14818	PSMA7
O14880	MGST3
O14920	IKBKB
O14960	LECT2
O14980	XPO1
O15031	PLXNB2
O15067	PFAS
O15075	DCLK1
O15084	ANKRD28
O15117	FYB
P01036	CST4
P01037	CST1
P09228	CST2
O15123	ANGPT2
O15127	SCAMP2
O15144	ARPC2
O15145	ARPC3
O15194	CTDSPL
O15197	EPHB6
O15204	ADAMDEC1
O15212	PFDN6
O15231	ZNF185
O15240	VGF
O15260	SURF4
O15273	TCAP
O15327	INPP4B
O15335	CHAD
O15372	EIF3H
O15382	BCAT2
O15394	NCAM2
O15400	STX7
O15439	ABCC4
O15498	YKT6
O15511	ARPC5
Q9BPX5	ARPC5L
O15533	TAPBP
O15551	CLDN3
O43143	DHX15
O43150	ASAP2
O43155	FLRT2
