Uniprot	Description	Names
Q15404	RSU1_HUMAN	RSU1
O00442	RTCA_HUMAN	RTCA
Q9Y3I0	RTCB_HUMAN	C22orf28
Q9Y3I0	RTCB_HUMAN	RTCB
Q16799	RTN1_HUMAN	RTN1
O75298	RTN2_HUMAN	RTN2
O95197	RTN3_HUMAN	RTN3
Q9NQC3	RTN4_HUMAN	RTN4
Q9BZR6	RTN4R_HUMAN	RTN4R
Q96T51	RUFY1_HUMAN	RUFY1
Q9Y265	RUVB1_HUMAN	RUVBL1
Q9Y230	RUVB2_HUMAN	RUVBL2
P26447	S10A4_HUMAN	S100A4
P06703	S10A6_HUMAN	S100A6
P31151	S10A7_HUMAN	S100A7
P05109	S10A8_HUMAN	S100A8
P06702	S10A9_HUMAN	S100A9
P60903	S10AA_HUMAN	S100A10
P31949	S10AB_HUMAN	S100A11
Q5K4L6	S27A3_HUMAN	SLC27A3
Q6P1M0	S27A4_HUMAN	SLC27A4
Q99808	S29A1_HUMAN	SLC29A1
Q8NBI5	S43A3_HUMAN	SLC43A3
P61619	S61A1_HUMAN	SEC61A1
P0DJI8	SAA1_HUMAN	SAA1
P35542	SAA4_HUMAN	SAA4
Q9NTJ5	SAC1_HUMAN	SACM1L
P23526	SAHH_HUMAN	AHCY
O43865	SAHH2_HUMAN	AHCYL1
Q96HN2	SAHH3_HUMAN	AHCYL2
Q8IZD0	SAM14_HUMAN	SAMD14
Q9Y512	SAM50_HUMAN	SAMM50
P02743	SAMP_HUMAN	APCS
P07602	SAP_HUMAN	PSAP
Q9NR31	SAR1A_HUMAN	SAR1A
Q9Y6B6	SAR1B_HUMAN	SAR1B
Q9BW04	SARG_HUMAN	SARG
Q9Y3A5	SBDS_HUMAN	SBDS
Q6UWP8	SBSN_HUMAN	SBSN
P67812	SC11A_HUMAN	SEC11A
P0C7V7	SC11B_HUMAN	SEC11B
O75396	SC22B_HUMAN	SEC22B
Q15436	SC23A_HUMAN	SEC23A
P53992	SC24C_HUMAN	SEC24C
O94979	SC31A_HUMAN	SEC31A
P60468	SC61B_HUMAN	SEC61B
P31641	SC6A6_HUMAN	SLC6A6
O15127	SCAM2_HUMAN	SCAMP2
Q8WVM8	SCFD1_HUMAN	SCFD1
Q6NUK1	SCMC1_HUMAN	SLC25A24
O75880	SCO1_HUMAN	SCO1
P55809	SCOT1_HUMAN	OXCT1
Q8NBX0	SCPDL_HUMAN	SCCPDH
Q12765	SCRN1_HUMAN	SCRN1
Q6P3W7	SCYL2_HUMAN	SCYL2
O00560	SDCB1_HUMAN	SDCBP
P48061	SDF1_HUMAN	CXCL12
Q9HCN8	SDF2L_HUMAN	SDF2L1
O95810	SDPR_HUMAN	SDPR
Q9UBV2	SE1L1_HUMAN	SEL1L
P55735	SEC13_HUMAN	SEC13
Q99442	SEC62_HUMAN	SEC62
P62341	SELT_HUMAN	SELT
P04279	SEMG1_HUMAN	SEMG1
Q02383	SEMG2_HUMAN	SEMG2
Q9NVA2	SEP11_HUMAN	SEP11
Q6ZU15	SEP14_HUMAN	SEP14
O60613	SEP15_HUMAN	SEP15
P49908	SEPP1_HUMAN	SEPP1
Q15019	SEPT2_HUMAN	SEPT2
Q99719	SEPT5_HUMAN	SEPT5
Q14141	SEPT6_HUMAN	SEPT6
Q16181	SEPT7_HUMAN	SEPT7
Q9UHD8	SEPT9_HUMAN	SEPT9
P50454	SERPH_HUMAN	SERPINH1
Q9BYW2	SETD2_HUMAN	SETD2
Q53H47	SETMR_HUMAN	SETMAR
Q9H9B4	SFXN1_HUMAN	SFXN1
Q9BWM7	SFXN3_HUMAN	SFXN3
Q96QR1	SG3A1_HUMAN	SCGB3A1
O43765	SGTA_HUMAN	SGTA
Q99961	SH3G1_HUMAN	SH3GL1
Q99962	SH3G2_HUMAN	SH3GL2
O75368	SH3L1_HUMAN	SH3BGRL
Q9UJC5	SH3L2_HUMAN	SH3BGRL2
Q9H299	SH3L3_HUMAN	SH3BGRL3
P04278	SHBG_HUMAN	SHBG
Q92835	SHIP1_HUMAN	INPP5D
O15357	SHIP2_HUMAN	INPPL1
Q9Y371	SHLB1_HUMAN	SH3GLB1
Q9NR46	SHLB2_HUMAN	SH3GLB2
Q8TF72	SHRM3_HUMAN	SHROOM3
Q9Y274	SIA10_HUMAN	ST3GAL6
Q9HAT2	SIAE_HUMAN	SIAE
Q9NR45	SIAS_HUMAN	NANS
P15907	SIAT1_HUMAN	ST6GAL1
A6NMB1	SIG16_HUMAN	SIGLEC16
Q9NTG7	SIR3_HUMAN	SIRT3
O75563	SKAP2_HUMAN	SKAP2
P63208	SKP1_HUMAN	SKP1
P19634	SL9A1_HUMAN	SLC9A1
Q8IVB4	SL9A9_HUMAN	SLC9A9
Q9NQ25	SLAF7_HUMAN	SLAMF7
Q9P270	SLAI2_HUMAN	SLAIN2
Q9H6Q3	SLAP2_HUMAN	SLA2
Q9H2G2	SLK_HUMAN	SLK
Q14BN4	SLMAP_HUMAN	SLMAP
P0C7P3	SLN14_HUMAN	SLFN14
Q9BSF0	SMAKA_HUMAN	C2orf88
Q14683	SMC1A_HUMAN	SMC1A
Q9H4I9	SMDT1_HUMAN	SMDT1
Q96Q15	SMG1_HUMAN	SMG1
B2RUZ4	SMIM1_HUMAN	SMIM1
P53814	SMTN_HUMAN	SMTN
P54920	SNAA_HUMAN	NAPA
Q99747	SNAG_HUMAN	NAPG
Q7KZF4	SND1_HUMAN	SND1
O43760	SNG2_HUMAN	SYNGR2
O00161	SNP23_HUMAN	SNAP23
O95721	SNP29_HUMAN	SNAP29
P09012	SNRPA_HUMAN	SNRPA
Q13884	SNTB1_HUMAN	SNTB1
Q9UMY4	SNX12_HUMAN	SNX12
O60749	SNX2_HUMAN	SNX2
O60493	SNX3_HUMAN	SNX3
Q9UNH7	SNX6_HUMAN	SNX6
Q9Y6L6	SO1B1_HUMAN	SLCO1B1
P35610	SOAT1_HUMAN	SOAT1
P00441	SODC_HUMAN	SOD1
P04179	SODM_HUMAN	SOD2
P30626	SORCN_HUMAN	SRI
Q8IW75	SPA12_HUMAN	SERPINA12
Q96P63	SPB12_HUMAN	SERPINB12
P29508	SPB3_HUMAN	SERPINB3
P35237	SPB6_HUMAN	SERPINB6
P50453	SPB9_HUMAN	SERPINB9
Q9Y6A9	SPCS1_HUMAN	SPCS1
Q15005	SPCS2_HUMAN	SPCS2
Q9NZQ3	SPN90_HUMAN	NCKIPSD
Q13103	SPP24_HUMAN	SPP2
P22531	SPR2E_HUMAN	SPRR2E
Q9BYE4	SPR2G_HUMAN	SPRR2G
P09486	SPRC_HUMAN	SPARC
P52788	SPSY_HUMAN	SMS
P02549	SPTA1_HUMAN	SPTA1
P11277	SPTB1_HUMAN	SPTB
Q01082	SPTB2_HUMAN	SPTBN1
O15269	SPTC1_HUMAN	SPTLC1
Q13813	SPTN1_HUMAN	SPTAN1
O15020	SPTN2_HUMAN	SPTBN2
Q9H254	SPTN4_HUMAN	SPTBN4
Q9Y6N5	SQRD_HUMAN	SQRDL
P12931	SRC_HUMAN	SRC
Q14247	SRC8_HUMAN	CTTN
Q14162	SREC_HUMAN	SCARF1
P10124	SRGN_HUMAN	SRGN
Q9Y5M8	SRPRB_HUMAN	SRPRB
Q04837	SSBP_HUMAN	SSBP1
P51649	SSDH_HUMAN	ALDH5A1
P51571	SSRD_HUMAN	SSR4
Q9UNL2	SSRG_HUMAN	SSR3
Q8IZP2	ST134_HUMAN	ST13P4
P50225	ST1A1_HUMAN	SULT1A1
P0DMM9	ST1A3_HUMAN	SULT1A3
P0DMN0	ST1A4_HUMAN	SULT1A4
P42229	STA5A_HUMAN	STAT5A
P51692	STA5B_HUMAN	STAT5B
P42224	STAT1_HUMAN	STAT1
P40763	STAT3_HUMAN	STAT3
Q658P3	STEA3_HUMAN	STEAP3
Q13586	STIM1_HUMAN	STIM1
P31948	STIP1_HUMAN	STIP1
O94804	STK10_HUMAN	STK10
Q9Y6E0	STK24_HUMAN	STK24
O00506	STK25_HUMAN	STK25
Q9UEW8	STK39_HUMAN	STK39
Q13043	STK4_HUMAN	STK4
Q9UJZ1	STML2_HUMAN	STOML2
P27105	STOM_HUMAN	STOM
Q8WXE9	STON2_HUMAN	STON2
Q9Y3F4	STRAP_HUMAN	STRAP
O43815	STRN_HUMAN	STRN
Q13033	STRN3_HUMAN	STRN3
Q9NRL3	STRN4_HUMAN	STRN4
Q8TCJ2	STT3B_HUMAN	STT3B
O75558	STX11_HUMAN	STX11
O14662	STX16_HUMAN	STX16
Q12846	STX4_HUMAN	STX4
O15400	STX7_HUMAN	STX7
P61764	STXB1_HUMAN	STXBP1
Q15833	STXB2_HUMAN	STXBP2
O00186	STXB3_HUMAN	STXBP3
Q5T5C0	STXB5_HUMAN	STXBP5
P53597	SUCA_HUMAN	SUCLG1
Q9P2R7	SUCB1_HUMAN	SUCLA2
Q9Y2Z0	SUGT1_HUMAN	SUGT1
P61956	SUMO2_HUMAN	SUMO2
Q6EEV6	SUMO4_HUMAN	SUMO4
Q15526	SURF1_HUMAN	SURF1
O15260	SURF4_HUMAN	SURF4
Q6UWL2	SUSD1_HUMAN	SUSD1
Q4LDE5	SVEP1_HUMAN	SVEP1
Q8NHG7	SVIP_HUMAN	SVIP
Q5T5J6	SWT1_HUMAN	SWT1
P49588	SYAC_HUMAN	AARS
P49589	SYCC_HUMAN	CARS
P14868	SYDC_HUMAN	DARS
Q9NSD9	SYFB_HUMAN	FARSB
P41250	SYG_HUMAN	GARS
P12081	SYHC_HUMAN	HARS
Q9NSE4	SYIM_HUMAN	IARS2
P56192	SYMC_HUMAN	MARS
Q8NF91	SYNE1_HUMAN	SYNE1
Q8WXH0	SYNE2_HUMAN	SYNE2
Q8N3V7	SYNPO_HUMAN	SYNPO
Q16563	SYPL1_HUMAN	SYPL1
P47897	SYQ_HUMAN	QARS
P54136	SYRC_HUMAN	RARS
P49591	SYSC_HUMAN	SARS
P26639	SYTC_HUMAN	TARS
Q96C24	SYTL4_HUMAN	SYTL4
P37840	SYUA_HUMAN	SNCA
P26640	SYVC_HUMAN	VARS
P23381	SYWC_HUMAN	WARS
P54577	SYYC_HUMAN	YARS
Q9Y3Q8	T22D4_HUMAN	TSC22D4
P13984	T2FB_HUMAN	GTF2F2
P21731	TA2R_HUMAN	TBXA2R
Q8N9U0	TAC2N_HUMAN	TC2N
Q13148	TADBP_HUMAN	TARDBP
P37802	TAGL2_HUMAN	TAGLN2
Q9UI15	TAGL3_HUMAN	TAGLN3
P37837	TALDO_HUMAN	TALDO1
Q7L7X3	TAOK1_HUMAN	TAOK1
Q9H2K8	TAOK3_HUMAN	TAOK3
Q03518	TAP1_HUMAN	TAP1
Q03519	TAP2_HUMAN	TAP2
Q4KMP7	TB10B_HUMAN	TBC1D10B
Q71U36	TBA1A_HUMAN	TUBA1A
P68363	TBA1B_HUMAN	TUBA1B
Q9BQE3	TBA1C_HUMAN	TUBA1C
Q13748	TBA3C_HUMAN	TUBA3C
P68366	TBA4A_HUMAN	TUBA4A
Q9H853	TBA4B_HUMAN	TUBA4B
Q9NY65	TBA8_HUMAN	TUBA8
A6NHL2	TBAL3_HUMAN	TUBAL3
Q9H4B7	TBB1_HUMAN	TUBB1
Q9BVA1	TBB2B_HUMAN	TUBB2B
Q13509	TBB3_HUMAN	TUBB3
P04350	TBB4A_HUMAN	TUBB4A
P68371	TBB4B_HUMAN	TUBB4B
P07437	TBB5_HUMAN	TUBB
Q9BUF5	TBB6_HUMAN	TUBB6
Q3ZCM7	TBB8_HUMAN	TUBB8
Q9NVG8	TBC13_HUMAN	TBC1D13
O75347	TBCA_HUMAN	TBCA
Q99426	TBCB_HUMAN	TBCB
Q15814	TBCC_HUMAN	TBCC
Q92609	TBCD5_HUMAN	TBC1D5
P23258	TBG1_HUMAN	TUBG1
P17987	TCPA_HUMAN	TCP1
P78371	TCPB_HUMAN	CCT2
P50991	TCPD_HUMAN	CCT4
P48643	TCPE_HUMAN	CCT5
P49368	TCPG_HUMAN	CCT3
Q99832	TCPH_HUMAN	CCT7
P50990	TCPQ_HUMAN	CCT8
P40227	TCPZ_HUMAN	CCT6A
P13693	TCTP_HUMAN	TPT1
Q15185	TEBP_HUMAN	PTGES3
Q9Y4R8	TELO2_HUMAN	TELO2
Q92752	TENR_HUMAN	TNR
P22105	TENX_HUMAN	TNXB
P55072	TERA_HUMAN	VCP
P05452	TETN_HUMAN	CLEC3B
Q9NQB0	TF7L2_HUMAN	TCF7L2
Q92734	TFG_HUMAN	TFG
O95379	TFIP8_HUMAN	TNFAIP8
P10646	TFPI1_HUMAN	TFPI
P01137	TGFB1_HUMAN	TGFB1
O43294	TGFI1_HUMAN	TGFB1I1
P21980	TGM2_HUMAN	TGM2
Q08188	TGM3_HUMAN	TGM3
O43493	TGON2_HUMAN	TGOLN2
P24557	THAS_HUMAN	TBXAS1
P05543	THBG_HUMAN	SERPINA7
Q9P2T0	THEG_HUMAN	THEG
Q9BWD1	THIC_HUMAN	ACAT2
P09110	THIK_HUMAN	ACAA1
P24752	THIL_HUMAN	ACAT1
P42765	THIM_HUMAN	ACAA2
P10599	THIO_HUMAN	TXN
Q99757	THIOM_HUMAN	TXN2
P00734	THRB_HUMAN	F2
P25325	THTM_HUMAN	MPST
Q16762	THTR_HUMAN	TST
Q9Y5L4	TIM13_HUMAN	TIMM13
P01033	TIMP1_HUMAN	TIMP1
Q8WZ42	TITIN_HUMAN	TTN
P29401	TKT_HUMAN	TKT
Q6P9B6	TLDC1_HUMAN	TLDC1
Q9Y490	TLN1_HUMAN	TLN1
Q9Y4G6	TLN2_HUMAN	TLN2
Q9BVC6	TM109_HUMAN	TMEM109
Q6ZVM7	TM1L2_HUMAN	TOM1L2
Q5BJD5	TM41B_HUMAN	TMEM41B
Q8N4L2	TM55A_HUMAN	TMEM55A
O94886	TM63A_HUMAN	TMEM63A
Q9BZW5	TM6S1_HUMAN	TM6SF1
Q99805	TM9S2_HUMAN	TM9SF2
Q9HD45	TM9S3_HUMAN	TM9SF3
Q15363	TMED2_HUMAN	TMED2
Q7Z7H5	TMED4_HUMAN	TMED4
Q9Y3A6	TMED5_HUMAN	TMED5
Q9Y3B3	TMED7_HUMAN	TMED7
Q6PL24	TMED8_HUMAN	TMED8
Q9BVK6	TMED9_HUMAN	TMED9
P49755	TMEDA_HUMAN	TMED10
P57088	TMM33_HUMAN	TMEM33
Q8WWA1	TMM40_HUMAN	TMEM40
Q9BTV4	TMM43_HUMAN	TMEM43
Q9NYL9	TMOD3_HUMAN	TMOD3
Q9H3N1	TMX1_HUMAN	TMX1
Q9H1E5	TMX4_HUMAN	TMX4
Q6ICL3	TNG2_HUMAN	TANGO2
Q9UKE5	TNIK_HUMAN	TNIK
Q92973	TNPO1_HUMAN	TNPO1
O14787	TNPO2_HUMAN	TNPO2
Q9Y5L0	TNPO3_HUMAN	TNPO3
Q9H0E2	TOLIP_HUMAN	TOLLIP
Q9NS69	TOM22_HUMAN	TOMM22
O94826	TOM70_HUMAN	TOMM70A
Q9NXH8	TOR4A_HUMAN	TOR4A
Q12974	TP4A2_HUMAN	PTP4A2
P55327	TPD52_HUMAN	TPD52
Q16890	TPD53_HUMAN	TPD52L1
O43399	TPD54_HUMAN	TPD52L2
P60174	TPIS_HUMAN	TPI1
P09493	TPM1_HUMAN	TPM1
P07951	TPM2_HUMAN	TPM2
P06753	TPM3_HUMAN	TPM3
P67936	TPM4_HUMAN	TPM4
O14773	TPP1_HUMAN	TPP1
P29144	TPP2_HUMAN	TPP2
O43617	TPPC3_HUMAN	TRAPPC3
O15533	TPSN_HUMAN	TAPBP
O14545	TRAD1_HUMAN	TRAFD1
P02787	TRFE_HUMAN	TF
P02788	TRFL_HUMAN	LTF
Q8NG06	TRI58_HUMAN	TRIM58
Q629K1	TRIQK_HUMAN	TRIQK
Q9NXH9	TRM1_HUMAN	TRMT1
Q86YW5	TRML1_HUMAN	TREML1
Q9Y210	TRPC6_HUMAN	TRPC6
Q8TD43	TRPM4_HUMAN	TRPM4
Q16881	TRXR1_HUMAN	TXNRD1
P07477	TRY1_HUMAN	PRSS1
Q99816	TS101_HUMAN	TSG101
Q8WUA8	TSK_HUMAN	TSKU
Q15631	TSN_HUMAN	TSN
Q8NG11	TSN14_HUMAN	TSPAN14
O95858	TSN15_HUMAN	TSPAN15
Q96SJ8	TSN18_HUMAN	TSPAN18
Q96QS1	TSN32_HUMAN	TSPAN32
Q86UF1	TSN33_HUMAN	TSPAN33
O75954	TSN9_HUMAN	TSPAN9
Q99598	TSNAX_HUMAN	TSNAX
P07996	TSP1_HUMAN	THBS1
P30536	TSPOA_HUMAN	TSPO
Q8NDW8	TT21A_HUMAN	TTC21A
Q99614	TTC1_HUMAN	TTC1
Q6P3X3	TTC27_HUMAN	TTC27
Q86TV6	TTC7B_HUMAN	TTC7B
P02766	TTHY_HUMAN	TTR
Q9C0H2	TTYH3_HUMAN	TTYH3
Q6IBS0	TWF2_HUMAN	TWF2
Q9Y6I9	TX264_HUMAN	TEX264
Q9BRA2	TXD17_HUMAN	TXNDC17
Q8NBS9	TXND5_HUMAN	TXNDC5
O43396	TXNL1_HUMAN	TXNL1
P53007	TXTP_HUMAN	SLC25A1
P63313	TYB10_HUMAN	TMSB10
P62328	TYB4_HUMAN	TMSB4X
O14604	TYB4Y_HUMAN	TMSB4Y
O43914	TYOBP_HUMAN	TYROBP
P19971	TYPH_HUMAN	TYMP
Q9BZF9	UACA_HUMAN	UACA
P62837	UB2D2_HUMAN	UBE2D2
P61077	UB2D3_HUMAN	UBE2D3
Q9Y385	UB2J1_HUMAN	UBE2J1
P68036	UB2L3_HUMAN	UBE2L3
Q13404	UB2V1_HUMAN	UBE2V1
Q15819	UB2V2_HUMAN	UBE2V2
P22314	UBA1_HUMAN	UBA1
Q8TBC4	UBA3_HUMAN	UBA3
Q9GZZ9	UBA5_HUMAN	UBA5
A0AVT1	UBA6_HUMAN	UBA6
P41226	UBA7_HUMAN	UBA7
Q8IYN6	UBAD2_HUMAN	UBALD2
P62256	UBE2H_HUMAN	UBE2H
P61086	UBE2K_HUMAN	UBE2K
P61088	UBE2N_HUMAN	UBE2N
Q9C0C9	UBE2O_HUMAN	UBE2O
P54578	UBP14_HUMAN	USP14
Q9Y4E8	UBP15_HUMAN	USP15
Q96K76	UBP47_HUMAN	USP47
P45974	UBP5_HUMAN	USP5
Q93009	UBP7_HUMAN	USP7
Q8TF42	UBS3B_HUMAN	UBASH3B
P47985	UCRI_HUMAN	UQCRFS1
P0C7P4	UCRIL_HUMAN	UQCRFS1P1
Q9Y3C8	UFC1_HUMAN	UFC1
Q92890	UFD1_HUMAN	UFD1L
O94874	UFL1_HUMAN	UFL1
P61960	UFM1_HUMAN	UFM1
Q9NYU2	UGGG1_HUMAN	UGGT1
Q16851	UGPA_HUMAN	UGP2
Q13564	ULA1_HUMAN	NAE1
P11172	UMPS_HUMAN	UMPS
Q70J99	UN13D_HUMAN	UNC13D
Q9H3U1	UN45A_HUMAN	UNC45A
Q86UX7	URP2_HUMAN	FERMT3
O75445	USH2A_HUMAN	USH2A
Q96IX5	USMG5_HUMAN	USMG5
O60763	USO1_HUMAN	USO1
Q93008	USP9X_HUMAN	USP9X
O00507	USP9Y_HUMAN	USP9Y
P46939	UTRO_HUMAN	UTRN
O95399	UTS2_HUMAN	UTS2
P61421	VA0D1_HUMAN	ATP6V0D1
Q08AM6	VAC14_HUMAN	VAC14
P63027	VAMP2_HUMAN	VAMP2
Q15836	VAMP3_HUMAN	VAMP3
O95183	VAMP5_HUMAN	VAMP5
P51809	VAMP7_HUMAN	VAMP7
Q9BV40	VAMP8_HUMAN	VAMP8
Q9P0L0	VAPA_HUMAN	VAPA
O95292	VAPB_HUMAN	VAPB
P50552	VASP_HUMAN	VASP
Q99536	VAT1_HUMAN	VAT1
P38606	VATA_HUMAN	ATP6V1A
P21281	VATB2_HUMAN	ATP6V1B2
